,City,Cloudiness,Country,Date,Humidity,Lat,Long,Max Temp,Wind Speed
0,East London,90,ZA,1551766260,100,-33.02,27.91,66.2,6.93
1,Mar del Plata,0,AR,1551769856,60,-46.43,-67.52,53.15,18.05
2,Bluff,76,AU,1551769856,57,-23.58,149.07,83.53,13.24
3,Saskylakh,76,RU,1551769856,72,71.97,114.09,-6.48,4.85
4,Jumla,0,NP,1551769857,69,29.28,82.18,32.72,1.72
5,Nargana,100,PA,1551769857,100,9.44,-78.59,79.03,14.47
6,Ushuaia,40,AR,1551765600,60,-54.81,-68.31,41,8.05
7,Banepa,40,NP,1551768600,42,27.63,85.52,66.2,5.82
8,Meulaboh,12,ID,1551769858,96,4.14,96.13,86.9,4.97
9,Mecca,0,SA,1551769858,23,21.43,39.83,65.84,3.96
10,Westport,75,IE,1551769690,100,53.8,-9.52,43.84,9.17
11,Pevek,68,RU,1551769859,78,69.7,170.27,6.49,4.18
12,Kapaa,75,US,1551769704,82,22.08,-159.32,64.36,16.11
13,Bredasdorp,0,ZA,1551769366,67,-34.53,20.04,65.43,12.01
14,PEMEX,100,MX,1551769860,93,18.44,-96.35,67.69,1.72
15,Kpandae,0,GH,1551769861,76,8.46,-0.01,77.9,5.86
16,Provideniya,88,RU,1551769861,93,64.42,-173.23,28.76,6.76
17,Barrow,0,AR,1551769861,72,-38.31,-60.23,55.13,4.74
18,Mataura,0,NZ,1551769806,82,-46.19,168.86,66.99,3
19,The Valley,40,AI,1551769264,78,18.22,-63.06,76.26,12.75
21,Albany,75,US,1551769704,65,42.65,-73.75,12,6.08
22,Jamestown,0,AU,1551769575,91,-33.21,138.6,72.46,10.22
23,Busselton,8,AU,1551769813,21,-33.64,115.35,83.03,16.26
24,Tiksi,12,RU,1551769864,61,71.64,128.87,0.68,10.56
25,Vao,80,EE,1551769864,94,59.1,26.19,36.68,11.45
26,Karratha,0,AU,1551769864,24,-20.74,116.85,103.28,12.01
27,Zaton,48,UA,1551769864,89,49.77,33.77,35.11,14.7
28,Katsuura,75,JP,1551768882,22,33.93,134.5,58.03,10.29
29,Saint-Pierre,75,FR,1551769737,93,48.95,4.24,41.95,19.46
30,Anaco,0,VE,1551769866,66,9.43,-64.46,73.76,15.59
31,Saint-Philippe,75,CA,1551769543,51,45.36,-73.48,12.56,4.7
32,Fairhope,90,US,1551769838,93,30.52,-87.9,36.79,16.11
33,Puerto Ayora,0,EC,1551769867,100,-0.74,-90.35,79.66,6.31
34,Baylo,12,PH,1551769867,79,7.85,126.06,82.76,7.09
35,Rikitea,48,PF,1551769693,97,-23.12,-134.97,81.01,14.58
36,Victoria,75,BN,1551767400,59,5.28,115.24,88.32,6.93
37,Nabire,68,ID,1551769868,85,-3.36,135.5,76.91,2.17
38,Kodiak,1,US,1551769773,30,39.95,-94.76,9.68,14.99
40,Hambantota,40,LK,1551766200,66,6.12,81.12,91.4,2.24
41,Bambous Virieux,40,MU,1551769745,66,-20.34,57.76,86.49,5.82
42,Revda,48,RU,1551769870,79,67.94,34.55,2.75,7.09
44,Kontagora,36,NG,1551769870,72,10.4,5.47,73.81,6.98
45,Yar-Sale,80,RU,1551769870,86,66.83,70.83,1.99,13.8
46,Kavieng,48,PG,1551769871,100,-2.57,150.8,84.11,4.18
47,Punta Arenas,75,CL,1551769392,86,-53.16,-70.91,37.22,12.75
48,Faya,0,SA,1551765600,37,18.39,42.45,67.14,16.11
49,Yellowknife,5,CA,1551769608,78,62.45,-114.38,6.84,8.05
50,Masterton,0,NZ,1551769721,73,-40.95,175.66,65.41,8.1
51,Torbay,90,CA,1551769408,89,47.66,-52.73,32.7,23.04
52,Coahuayana,0,MX,1551769933,71,18.62,-100.35,60.89,1.95
53,Georgetown,20,GY,1551765600,94,6.8,-58.16,73.4,4.7
54,Zambezi,68,ZM,1551769934,86,-13.55,23.12,67.69,11.23
55,Tasiilaq,0,GL,1551765000,66,65.61,-37.64,14,4.7
56,Ilulissat,56,GL,1551765000,72,69.22,-51.1,15.8,2.73
57,Ancud,20,CL,1551765600,93,-41.87,-73.83,48.2,4.7
58,Curillo,8,CO,1551769935,82,1.03,-75.92,68.41,2.73
59,Saldanha,12,PT,1551769935,86,41.42,-6.55,31.28,3.62
60,Teahupoo,75,PF,1551769387,74,-17.83,-149.27,82.18,4.7
61,Wanning,90,AT,1551769927,94,48.64,13.53,37.87,12.75
63,Awjilah,0,LY,1551769936,84,29.14,21.3,45.14,3.18
64,New Norfolk,75,AU,1551769934,60,-42.78,147.06,70.52,8.05
65,Clemmons,90,US,1551769722,55,36.02,-80.38,32.07,3.36
66,Atuona,12,PF,1551769937,100,-9.8,-139.03,82.13,13.91
67,Lima,0,PE,1551769504,88,-12.06,-77.04,71.87,8.05
68,Fort Saint James,0,CA,1551769937,53,54.43,-124.25,2.26,3.18
69,Shache,32,CN,1551769941,42,38.42,77.24,51.04,4.74
70,Hervey Bay,100,AU,1551769810,58,-25.3,152.85,85.15,17.22
71,Pangai,36,TO,1551769942,99,-19.8,-174.35,80.56,20.29
72,Cape Town,0,ZA,1551769651,82,-33.93,18.42,67.05,5.82
73,Cabo San Lucas,5,MX,1551769804,55,22.89,-109.91,64.76,4.7
74,Sidlaghatta,20,IN,1551769897,37,13.39,77.86,86.25,4.7
76,Alice Springs,0,AU,1551767400,8,-23.7,133.88,100.4,12.75
77,Solnechnyy,0,RU,1551769943,66,50.72,136.64,24.98,3.4
78,Constitucion,0,MX,1551769943,46,23.99,-104.67,54.28,6.64
79,Cabatuan,0,PH,1551769944,62,16.95,121.67,84.74,5.97
80,Maiduguri,0,NG,1551769944,29,11.84,13.15,69.35,7.43
81,Aquiraz,75,BR,1551769695,94,-3.9,-38.39,77.34,5.82
82,Lagunas,0,PE,1551769944,89,-5.23,-75.68,77.59,2.06
83,Sechura,56,PE,1551769945,87,-5.56,-80.82,75.11,5.53
84,Wanaka,0,NZ,1551769945,51,-44.7,169.14,69.94,3.96
85,Hilo,90,US,1551769942,68,19.71,-155.08,64.4,5.82
86,Bom Jardim,40,BR,1551765600,94,-7.8,-35.59,73.4,2.24
87,Thompson,20,CA,1551765600,75,55.74,-97.86,-13.01,2.24
88,Ixtapa,5,MX,1551769811,100,20.71,-105.21,70.7,2.24
89,Bambanglipuro,0,ID,1551769947,100,-7.95,110.28,79.07,3.62
91,Kathmandu,40,NP,1551768600,42,27.71,85.32,66.2,5.82
92,Bilma,0,NE,1551769948,32,18.69,12.92,50.68,8.99
94,Khatanga,32,RU,1551769948,78,71.98,102.47,1.81,5.19
95,Avarua,76,CK,1551767400,61,-21.21,-159.78,78.8,4.7
96,Morondava,0,MG,1551769949,80,-20.3,44.28,85.91,3.96
97,Esperance,20,TT,1551769231,88,10.24,-61.45,73.22,9.17
98,Vardo,1,US,1551769932,48,39.62,-77.74,19.94,5.82
99,Vaini,0,IN,1551765600,29,15.34,74.49,85.96,9.17
100,Kaitangata,8,NZ,1551769945,85,-46.28,169.85,64,3
101,Oranjemund,76,ZA,1551769950,94,-28.55,16.43,62.74,19.06
102,Ust-Kuyga,0,RU,1551769951,71,70,135.55,-11.07,3.29
104,Aviles,20,ES,1551769854,81,43.55,-5.92,43.65,4.7
105,Vierzon,40,FR,1551769924,93,47.22,2.07,43.29,8.05
106,Chokurdakh,32,RU,1551769952,68,70.62,147.9,-15.34,3.18
107,Pudozh,80,RU,1551770012,82,61.81,36.54,15.35,9.78
108,Harlingen,90,US,1551769829,69,26.19,-97.7,40.14,12.75
109,Rio Grande,48,BR,1551770012,81,-32.03,-52.1,78.53,17.27
110,Ostrovnoy,0,RU,1551770013,66,68.05,39.51,-1.66,14.14
111,Palmer,20,AU,1551769966,56,-34.85,139.16,73.63,12.75
112,Winnemucca,1,US,1551769278,80,40.97,-117.74,31.89,9.17
113,Valparaiso,75,US,1551769832,60,41.47,-87.06,8.67,18.34
114,Waipawa,0,NZ,1551769157,73,-39.94,176.59,66,3.06
116,Kutum,76,SD,1551770017,33,14.2,24.66,66.2,6.87
117,Kurumkan,0,RU,1551770018,67,54.33,110.32,18.95,1.95
118,Sao Caetano de Odivelas,80,BR,1551770018,100,-0.75,-48.02,78.44,10.45
119,Butaritari,68,KI,1551770018,100,3.07,172.79,83.08,17.72
121,Kennewick,1,US,1551769744,78,46.21,-119.12,11.28,3.36
122,Vire,92,FR,1551769268,93,48.84,-0.89,44.98,9.17
123,Saint George,0,GR,1551770001,75,39.45,22.34,42.03,4.7
124,Ariquemes,8,BR,1551770020,87,-9.91,-63.03,76.19,2.17
125,Kisangani,56,CD,1551770020,100,0.52,25.21,70.97,1.95
126,Hualmay,56,PE,1551770020,88,-11.1,-77.61,68.41,2.51
127,Chanika,76,MW,1551770021,84,-12.93,34.19,78.26,3.74
128,Namibe,12,AO,1551770021,100,-15.19,12.15,77.23,3.96
129,Bongandanga,36,CD,1551770021,93,1.51,21.07,74.89,3.18
130,Bethel,90,US,1551768960,93,60.79,-161.76,36.05,10.29
131,Disraeli,1,CA,1551769805,61,45.9,-71.36,12.7,8.05
132,Arraial do Cabo,8,BR,1551770023,92,-22.97,-42.02,79.16,11.01
133,Port Elizabeth,1,US,1551770020,49,39.31,-74.98,25.81,9.17
136,Saint Anthony,1,US,1551769702,85,43.97,-111.68,11.59,5.82
137,Boralday,90,KZ,1551767400,100,43.36,76.86,37.4,4.47
138,Carnarvon,0,ZA,1551770024,62,-30.97,22.13,62.24,10.22
139,Walvis Bay,90,NA,1551769323,88,-22.95,14.51,65.68,11.41
140,Voyvozh,0,RU,1551770025,51,62.89,54.96,-4.36,6.2
142,Chuy,80,UY,1551770025,99,-33.69,-53.46,69.31,10.45
143,Jieshi,92,CN,1551770026,100,22.82,115.83,68.59,8.77
145,Samarai,8,PG,1551770026,100,-10.62,150.67,82.13,6.64
146,Batyrevo,80,RU,1551770026,88,55.07,47.6,25.21,7.76
147,Tokur,0,RU,1551770027,46,53.13,132.9,16.52,4.74
148,At-Bashi,20,KG,1551769866,26,41.17,75.81,16.54,0.94
149,Vila Franca do Campo,40,PT,1551770019,82,37.72,-25.43,56.1,29.97
150,Talnakh,88,RU,1551770028,81,69.49,88.39,23.09,13.02
152,Aitape,24,PG,1551770028,86,-3.15,142.36,83.48,12.46
153,Swellendam,0,ZA,1551765600,67,-34.02,20.44,62.6,4.07
154,Abancay,8,PE,1551770028,96,-13.64,-72.88,38.44,1.16
155,Dicabisagan,44,PH,1551770029,93,17.08,122.42,77.27,4.52
156,Bloomfield,1,US,1551769498,65,40.75,-92.42,8.89,11.41
157,Ashibetsu,75,JP,1551765600,64,43.42,142.2,33.8,11.41
158,Coihaique,75,CL,1551765600,81,-45.58,-72.07,46.4,6.93
159,Verkhnyaya Toyma,80,RU,1551770030,76,62.24,45,8.83,6.2
160,Netivot,68,IL,1551769984,27,31.42,34.59,57.51,4.29
162,Tuktoyaktuk,5,CA,1551765600,92,69.44,-133.03,10.4,16.11
163,Hobart,75,AU,1551769874,60,-42.88,147.33,70.52,8.05
164,Kajaani,0,FI,1551766800,76,64.22,27.73,-5.81,4.7
165,Bratsk,0,RU,1551769990,47,56.15,101.63,34.43,8.95
166,Cherskiy,56,RU,1551770092,76,68.75,161.3,2.44,7.65
167,Axim,32,GH,1551770092,97,4.87,-2.24,82.94,11.79
168,Marzuq,20,YE,1551770092,76,14.4,46.47,66.47,3.4
169,Margate,75,AU,1551770065,60,-43.03,147.26,70.52,8.05
170,Mangrol,0,IN,1551765600,49,25.33,76.51,73.4,2.24
171,Rincon,1,US,1551770084,87,32.3,-81.24,46.89,4.7
172,Sitka,20,US,1551769262,82,37.17,-99.65,10,4
173,Sabha,0,LY,1551770094,58,27.03,14.43,41.9,2.95
174,Nome,90,US,1551770093,59,30.04,-94.42,36.14,10.29
175,Upernavik,68,GL,1551770095,100,72.79,-56.15,10.94,5.75
176,Gornopravdinsk,80,RU,1551770095,78,60.06,69.92,17.11,5.97
177,Beloha,56,MG,1551770095,87,-25.17,45.06,80.33,8.43
178,Chapais,90,CA,1551768360,76,49.78,-74.86,-7.61,2.73
179,Hithadhoo,48,MV,1551770096,100,-0.6,73.08,83.26,5.97
180,Beyneu,88,KZ,1551770096,78,45.32,55.19,35.6,5.3
181,Barcelos,75,PT,1551769925,81,41.53,-8.62,50.32,13.87
182,Los Llanos de Aridane,0,ES,1551767400,67,28.66,-17.92,59,11.41
183,Saurimo,75,AO,1551765600,88,-9.66,20.4,68,1.95
184,Mount Isa,40,AU,1551767400,21,-20.73,139.49,95,6.93
185,Bandarbeyla,92,SO,1551770097,100,9.49,50.81,77.86,11.68
186,Vangaindrano,20,MG,1551770098,96,-23.35,47.6,80.06,3.18
187,Nikolskoye,75,RU,1551770009,92,59.7,30.79,28.63,4.47
188,Northam,20,GB,1551770024,93,51.04,-4.21,39.92,6.93
190,Wajima,40,JP,1551765600,73,37.4,136.9,50,6.93
191,Ibra,0,OM,1551770099,61,22.69,58.55,66.79,2.73
193,Ponta do Sol,88,BR,1551770100,90,-20.63,-46,64.09,1.16
194,Griffith,75,AU,1551769217,38,-34.29,146.06,82.92,11.41
195,Souillac,20,FR,1551770080,93,45.6,-0.6,44.4,10.29
196,Sanford,90,US,1551769845,59,35.48,-79.18,35.06,4.7
197,Hovd,0,NO,1551769822,85,63.83,10.7,17.1,10.29
198,Elliot Lake,90,CA,1551767940,84,46.37,-82.65,1.4,6.76
199,Lebu,12,ET,1551770102,68,8.96,38.73,60.76,3.85
201,Hasaki,20,JP,1551770022,54,35.73,140.83,55.29,6.93
203,Jever,40,DE,1551770096,80,53.57,7.9,40.78,14.99
204,Ulaangom,8,MN,1551770103,66,49.98,92.07,33.35,1.72
206,Codrington,40,AU,1551770028,51,-28.95,153.24,82.02,8.05
207,Marrakesh,0,MA,1551767400,81,31.63,-7.99,50,2.39
208,Zhuhai,0,CN,1551765600,13,40.71,112.04,46.4,17.9
209,Ribeira Grande,44,PT,1551770105,98,38.52,-28.7,59.86,40.65
210,Te Anau,44,NZ,1551770105,61,-45.41,167.72,68.18,13.02
211,Ketchikan,1,US,1551765180,68,55.34,-131.65,26.42,6.93
212,Tura,80,IN,1551770106,83,25.52,90.21,69.49,2.06
213,Alofi,92,NU,1551765600,78,-19.06,-169.92,78.8,10.29
215,Pahrump,1,US,1551770103,54,36.21,-115.98,52.95,4.7
216,Qaanaaq,32,GL,1551770107,77,77.48,-69.36,-8.23,7.43
217,College,1,US,1551770107,77,64.86,-147.8,12.18,6.31
218,Luderitz,0,NA,1551770108,80,-26.65,15.16,63.05,16.82
219,Petropavlovsk-Kamchatskiy,0,RU,1551765600,41,53.05,158.65,23,4.47
220,Omsukchan,80,RU,1551770108,62,62.53,155.8,-1.53,4.74
221,Severo-Kurilsk,64,RU,1551770169,100,50.68,156.12,22.64,6.98
223,Pisco,0,PE,1551765600,83,-13.71,-76.2,71.6,9.17
224,Lata,24,IN,1551770170,86,30.78,78.62,45.68,2.17
225,Guerrero Negro,20,MX,1551770170,97,27.97,-114.04,55.63,7.43
226,El Sauzal,75,AR,1551765600,100,-24.3,-64.96,71.6,4.7
227,Palapye,0,BW,1551770170,62,-22.54,27.12,76.06,8.21
228,Santa Vitoria,64,BR,1551770171,92,-7.82,-67.03,76.37,2.95
229,Grants Pass,1,US,1551770126,80,42.44,-123.33,35.2,1.95
230,Airai,48,TL,1551770171,87,-8.93,125.41,77.59,1.28
231,Uddevalla,75,SE,1551770164,90,58.35,11.94,32.5,13.87
232,Narsaq,24,GL,1551768600,41,60.91,-46.05,23,6.93
233,Ambulu,32,ID,1551770172,100,-8.35,113.61,83.03,2.62
234,Yenagoa,68,NG,1551770173,93,4.92,6.26,72.59,2.62
235,Tessalit,0,ML,1551770173,40,20.2,1.01,45.5,2.73
236,Romny,64,UA,1551770173,93,50.74,33.49,35.6,15.14
237,Malanje,80,AO,1551770174,94,-9.54,16.35,67.28,2.95
238,Rocha,92,UY,1551770174,95,-34.48,-54.34,67.06,9.44
239,Bonthe,0,SL,1551770174,98,7.53,-12.5,75.11,3.85
240,Hermanus,48,ZA,1551770106,74,-34.42,19.24,67.48,5.01
241,Caravelas,48,BR,1551770175,100,-17.73,-39.27,80.96,4.52
242,Arua,20,UG,1551770074,70,3.02,30.91,74.26,3.62
243,Shingu,40,JP,1551765600,50,33.72,135.99,57.2,8.05
244,Nara,75,JP,1551770034,47,34.68,135.8,56.7,9.17
246,Nobres,8,BR,1551770176,93,-14.72,-56.34,72.64,5.53
247,Daru,12,SL,1551770177,93,7.99,-10.85,68.63,2.73
248,Dikson,80,RU,1551770177,96,73.51,80.55,9.28,22.19
249,Abha,0,SA,1551765600,37,18.22,42.5,67.15,16.11
250,Mabay,20,CU,1551765000,88,20.35,-76.78,71.6,5.82
251,Kaeo,8,NZ,1551769685,82,-35.1,173.78,64.99,2.95
252,Baykit,36,RU,1551770178,85,61.68,96.39,26.96,9.66
253,Longyearbyen,40,NO,1551766800,64,78.22,15.63,-4.01,9.17
254,Merauke,44,ID,1551770179,93,-8.49,140.4,84.34,8.66
255,Calbuco,90,CL,1551765600,87,-41.77,-73.13,51.8,6.93
256,Hailar,80,CN,1551770179,45,49.2,119.7,28.94,14.14
257,Orissaare,90,EE,1551770104,100,58.56,23.08,32.18,5.82
259,Leningradskiy,36,RU,1551770180,98,69.38,178.42,10.63,6.64
260,Yala,0,TH,1551765600,70,6.54,101.28,84.2,9.17
261,Tiznit,0,MA,1551770181,91,29.7,-9.73,49.82,2.73
262,Avera,90,US,1551770146,93,33.19,-82.53,40.08,8.05
263,Baie-Comeau,90,CA,1551769946,79,49.22,-68.15,19.76,16.11
264,Tevriz,76,RU,1551770182,80,57.51,72.4,20.48,10.78
265,Sibiti,92,CG,1551770182,100,-3.69,13.35,71.96,3.29
266,Ust-Nera,12,RU,1551770182,60,64.57,143.24,-15.61,2.17
267,Excelsior Springs,1,US,1551770175,61,39.34,-94.23,10.62,8.05
268,Jagodina,75,RS,1551767400,66,43.98,21.26,48.2,2.24
269,Omboue,68,GA,1551770183,100,-1.57,9.26,81.05,10.11
270,Kloulklubed,90,PW,1551768600,74,7.04,134.26,82.4,10.29
271,Yangcun,100,CN,1551770174,90,29.98,118.17,55.99,2.73
272,Atar,0,MR,1551770184,50,20.52,-13.05,48.83,4.41
273,Bathsheba,20,BB,1551765600,73,13.22,-59.52,77,23.04
274,Vila,0,IT,1551770244,86,45.18,8.4,38.97,4.7
275,Vila Velha,75,BR,1551769695,94,-3.71,-38.6,77.34,5.82
276,Madang,68,PG,1551770246,89,-5.21,145.81,82.18,2.62
277,Quatre Cocos,40,MU,1551770045,66,-20.21,57.76,86.58,5.82
278,Adrar,0,DZ,1551765600,29,27.87,-0.29,51.8,13.87
279,Edd,12,ER,1551770247,59,13.93,41.69,74.44,0.72
280,Tianpeng,100,CN,1551770247,100,28.88,112.34,50.86,11.34
281,Iquique,0,CL,1551765600,68,-20.22,-70.14,69.8,9.17
282,Antofagasta,0,CL,1551765600,82,-23.65,-70.4,64.4,2.24
283,Antalaha,56,MG,1551770248,100,-14.9,50.28,79.43,2.95
284,Nishihara,75,JP,1551770168,91,35.74,139.53,57.81,3.36
285,Natal,75,BR,1551769200,94,-5.81,-35.21,76.08,4.7
286,Nouadhibou,0,MR,1551765600,82,20.93,-17.03,59,14.99
287,Haines Junction,20,CA,1551770249,60,60.75,-137.51,-9.4,2.62
288,Sao Filipe,0,CV,1551770249,94,14.9,-24.5,70.7,15.26
289,Farim,0,GW,1551770249,25,12.48,-15.22,63.5,8.88
290,Gosh,8,AM,1551770250,81,40.73,45,29.08,2.17
291,Husavik,48,CA,1551769806,80,50.56,-96.99,5,7
292,Sorong,8,ID,1551770250,100,-0.86,131.25,81.64,6.2
293,Port Lincoln,64,AU,1551770251,89,-34.72,135.86,69.26,16.49
294,Russell,75,AR,1551769200,88,-33.01,-68.8,68,8.05
295,Padang,75,ID,1551765600,83,-0.92,100.36,78.8,9.17
296,Quesnel,0,CA,1551769232,74,52.98,-122.49,-2.01,2.06
297,Nha Trang,0,VN,1551767400,49,12.24,109.19,89.6,17.22
298,Ushtobe,48,KZ,1551770252,98,45.25,77.98,34.43,4.63
299,Raudeberg,0,NO,1551770109,80,61.99,5.14,29.73,6.93
300,Avaton,0,GR,1551770137,86,40.97,24.8,48.92,3.18
301,Okhotsk,80,RU,1551770253,90,59.36,143.24,17.87,5.97
302,Cortes,92,PH,1551770253,98,9.28,126.19,75.38,2.95
